Recording,Subject,original unit id,sig_increase_events,sig_decrease_events,insig_events,sig_events
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,9,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,24,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,76,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10,both_rewarded,,"win, tie, lose, rewarded",both_rewarded
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,94,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,87,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,1,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,15,both_rewarded,,"win, tie, lose, rewarded",both_rewarded
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,97,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,39,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,2,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,11,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,77,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,21,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,28,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,53,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,46,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,45,both_rewarded,,"win, tie, lose, rewarded",both_rewarded
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,33,"both_rewarded, win",,"tie, lose, rewarded","both_rewarded, win"
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,109,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,76,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,39,both_rewarded,,"win, tie, lose, rewarded",both_rewarded
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,26,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,44,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,22,win,,"both_rewarded, tie, lose, rewarded",win
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,48,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,74,"both_rewarded, win",,"tie, lose, rewarded","both_rewarded, win"
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,37,"both_rewarded, win",,"tie, lose, rewarded","both_rewarded, win"
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,58,both_rewarded,,"win, tie, lose, rewarded",both_rewarded
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,1,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,23,"both_rewarded, win",,"tie, lose, rewarded","both_rewarded, win"
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,20,,,"rewarded, both_rewarded, tie, win, lose",
