session_dir,subject,subj_recording,condition,tone_start_timestamp,tone_stop_timestamp
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,lose,982229.0,1182226.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,win,982229.0,1182226.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,win,3382227.0,3582224.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,lose,3382227.0,3582224.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,lose,5682225.0,5882222.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,win,5682225.0,5882222.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,lose,7482224.0,7682221.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,win,7482224.0,7682221.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,lose,8582220.0,8782223.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,win,8582220.0,8782223.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,win,9582220.0,9782222.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,lose,9582220.0,9782222.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,lose,11482221.0,11682221.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,win,11482221.0,11682221.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,win,12982217.0,13182217.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,lose,12982217.0,13182217.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,win,15082218.0,15282215.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,lose,15082218.0,15282215.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,win,16082217.0,16282217.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,lose,16082217.0,16282217.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,win,17682216.0,17882213.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,lose,17682216.0,17882213.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,win,18982215.0,19182212.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,lose,18982215.0,19182212.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,win,20282211.0,20482211.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,lose,20282211.0,20482211.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,lose,21282213.0,21482212.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,win,21282213.0,21482212.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,win,22682209.0,22882209.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,lose,22682209.0,22882209.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,lose,24582210.0,24782210.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,win,24582210.0,24782210.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,win,26182209.0,26382209.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,lose,26182209.0,26382209.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,win,27582205.0,27782205.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,lose,27582205.0,27782205.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,win,29782206.0,29982206.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,lose,29782206.0,29982206.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,win,30982205.0,31182202.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,lose,30982205.0,31182202.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,rewarded,36982198.0,37182198.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,rewarded,36982198.0,37182198.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,rewarded,38182197.0,38382199.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,rewarded,38182197.0,38382199.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,rewarded,39282196.0,39482198.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,rewarded,39282196.0,39482198.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,rewarded,40582195.0,40782195.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,rewarded,40582195.0,40782195.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.3,20230612_101430_standard_comp_to_training_D1_subj_1-3,rewarded,41682197.0,41882194.0
20230612_101430_standard_comp_to_training_D1_subj_1-4_and_1-3,1.4,20230612_101430_standard_comp_to_training_D1_subj_1-4,rewarded,41682197.0,41882194.0
