,x,y,waveform,cluster_id,cluster_color,firing_rate,recording_name,unit_id
0,11.056281,6.7250366,"[ 0.1099006   0.11656713  0.12440342  0.1342621   0.1423753   0.14698349
  0.15345283  0.16103794  0.16350685  0.16874729  0.17984778  0.17816849
  0.17237459  0.187303    0.18655801  0.15643847  0.17217287  0.1536163
 -0.15639983 -0.69080895 -1.         -0.9143426  -0.710649   -0.57144874
 -0.43530172 -0.29278255 -0.1997032  -0.13555406 -0.06787571 -0.01312747
  0.02460124  0.06353808  0.10577487  0.14517343  0.18087366  0.20824729
  0.2229658   0.22834478  0.22732554  0.21983373]",6,[0.8538  0.2217  0.02677 1.     ],4.81364834,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,45.0
1,4.670065,5.4064827,"[ 0.0682198   0.07284369  0.07739481  0.08312042  0.08796546  0.08951133
  0.09299275  0.09858026  0.09717623  0.09717029  0.10737227  0.10276967
  0.08718994  0.10471798  0.11511181  0.07202127  0.08869146  0.1412946
 -0.11564638 -0.69564915 -1.         -0.74030346 -0.36976287 -0.24078393
 -0.19375934 -0.09301104 -0.02062935  0.00917778  0.05421672  0.09767398
  0.10774515  0.10670733  0.11958282  0.14131682  0.1582869   0.16407013
  0.16028081  0.15214369  0.14212413  0.13005859]",1,[0.27698 0.46153 0.93309 1.     ],0.82051539,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,60.0
2,9.244576,7.548844,"[ 0.09019028  0.09590861  0.10189682  0.10976042  0.1155827   0.11883367
  0.12461146  0.13023315  0.13086823  0.13401702  0.13905376  0.1330967
  0.13022631  0.1431716   0.13582018  0.11579175  0.1414068   0.09286477
 -0.25516042 -0.76711035 -1.         -0.8392242  -0.58610225 -0.4270007
 -0.29837608 -0.1734593  -0.09896754 -0.06016551 -0.01684175  0.03053826
  0.07697771  0.12886755  0.1789806   0.21510656  0.23751512  0.24886999
  0.24694772  0.2330223   0.21372381  0.19383349]",7,[0.4796  0.01583 0.01055 1.     ],0.84315897,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,67.0
3,7.0819173,5.9540496,"[ 0.08470728  0.09079722  0.09541856  0.10189715  0.1086494   0.11296186
  0.1191744   0.12624976  0.12654483  0.12844343  0.13840602  0.13623942
  0.1273729   0.14275728  0.1459054   0.1116071   0.13088036  0.1442739
 -0.15047568 -0.71435344 -1.         -0.7789922  -0.46282923 -0.3517106
 -0.30383125 -0.20581017 -0.12824038 -0.08267542 -0.02549448  0.02866326
  0.06442092  0.10125545  0.1415697   0.17244045  0.19380845  0.20673193
  0.20741497  0.19904605  0.18764274  0.17409174]",0,[0.18995 0.07176 0.23217 1.     ],1.95804094,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,109.0
4,8.892169,3.198857,"[ 6.02611341e-02  6.25045598e-02  6.49262741e-02  6.95199221e-02
  7.14181513e-02  7.13469088e-02  7.73224905e-02  8.10275301e-02
  7.48338178e-02  7.99230859e-02  9.21327174e-02  7.70581439e-02
  7.13499263e-02  1.06243886e-01  8.82687643e-02  5.47976196e-02
  2.21151590e-01  3.91304344e-01  3.27984542e-02 -6.93640471e-01
 -1.00000000e+00 -7.30351329e-01 -4.34745908e-01 -3.42081547e-01
 -2.64824450e-01 -1.64859504e-01 -1.15359426e-01 -7.21733272e-02
 -2.15353881e-04  6.13243207e-02  1.06079973e-01  1.51487842e-01
  1.83678538e-01  1.92681983e-01  1.92351714e-01  1.89704940e-01
  1.81819543e-01  1.71089992e-01  1.60284728e-01  1.47728667e-01]",3,[0.38127 0.98909 0.42386 1.     ],7.64441071,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,124.0
5,10.247236,10.547736,"[ 0.13165534  0.14244774  0.15158896  0.16160889  0.17144747  0.17584729
  0.17962989  0.18907388  0.19450872  0.19552018  0.20760149  0.2147679
  0.1985054   0.19333619  0.17271052  0.00851796 -0.27740306 -0.49544308
 -0.6462325  -0.86069715 -1.         -0.85590094 -0.57563436 -0.40203264
 -0.3025177  -0.1741854  -0.05378023  0.02417336  0.09024715  0.14790168
  0.18210389  0.20506938  0.22759789  0.24323897  0.25019518  0.25223702
  0.24850364  0.23752604  0.22111082  0.20210142]",6,[0.8538  0.2217  0.02677 1.     ],1.84576651,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,146.0
6,10.486874,9.340496,"[ 0.12313257  0.13057867  0.13486004  0.1435123   0.15539397  0.16303049
  0.16835923  0.17462394  0.17840718  0.18118684  0.18133485  0.16928113
  0.15527135  0.14754452  0.11433212  0.05849151  0.02636044 -0.06987186
 -0.3933377  -0.82188237 -1.         -0.84203124 -0.6019144  -0.44535345
 -0.32143828 -0.19371793 -0.09859817 -0.03801357  0.01465507  0.06167502
  0.09900726  0.13184352  0.15904987  0.17793924  0.19405755  0.20959325
  0.21941252  0.22223312  0.22100869  0.2154418 ]",6,[0.8538  0.2217  0.02677 1.     ],0.65068852,20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,148.0
7,7.932781,3.2042344,"[ 0.03930258  0.03941042  0.03817217  0.04053751  0.04028302  0.0323531
  0.03302843  0.04004103  0.0276798   0.01976915  0.03957136  0.02602522
 -0.00870609  0.03493413  0.04782942 -0.06170281  0.05112781  0.45918885
  0.4133694  -0.37556234 -1.         -0.8709514  -0.5202412  -0.3890602
 -0.2938792  -0.1355428  -0.02512008  0.05773418  0.15887931  0.22538784
  0.2442995   0.2519316   0.24721928  0.22435866  0.2010732   0.18194965
  0.16042753  0.14041714  0.12394805  0.10458163]",3,[0.38127 0.98909 0.42386 1.     ],7.74303215,20240322_120625_alone_comp_subj_3-4_t5b5_merged.rec,8.0
8,9.374678,9.114633,"[ 0.09074485  0.09528289  0.09944892  0.10423286  0.10694724  0.10733577
  0.11018036  0.1133239   0.11255308  0.11582577  0.12184681  0.11511712
  0.10885563  0.11887161  0.1105784   0.08668105  0.10095413  0.04293269
 -0.29552191 -0.78269786 -1.         -0.83848596 -0.5836405  -0.4218294
 -0.30160767 -0.18917026 -0.11402525 -0.05814152  0.01109849  0.08374641
  0.1453302   0.19934317  0.24446644  0.2729851   0.28352565  0.2796609
  0.26614612  0.24808648  0.22795041  0.20573273]",4,[0.82333 0.91253 0.20663 1.     ],2.63085179,20240322_120625_alone_comp_subj_3-4_t5b5_merged.rec,14.0
9,5.1003785,4.795748,"[ 7.31958374e-02  7.86953866e-02  8.40131268e-02  9.11363512e-02
  9.68178287e-02  9.97417346e-02  1.06313750e-01  1.13873653e-01
  1.13181584e-01  1.16129056e-01  1.29434958e-01  1.26456395e-01
  1.15933567e-01  1.36596814e-01  1.40589282e-01  9.85869020e-02
  1.27975911e-01  1.69029430e-01 -1.22100443e-01 -7.09160984e-01
 -1.00000000e+00 -7.45620668e-01 -3.77653092e-01 -2.32016295e-01
 -1.91332832e-01 -1.26331642e-01 -7.39971325e-02 -4.21139635e-02
 -8.26792268e-04  3.54468562e-02  5.69207072e-02  8.18366110e-02
  1.10959716e-01  1.31770328e-01  1.44446537e-01  1.51328459e-01
  1.50204599e-01  1.44019768e-01  1.37316093e-01  1.29356638e-01]",1,[0.27698 0.46153 0.93309 1.     ],5.96862671,20240322_120625_alone_comp_subj_3-4_t5b5_merged.rec,32.0
10,11.057197,8.3752985,"[ 0.10929407  0.11466844  0.1184442   0.12479183  0.13115777  0.13531995
  0.13939826  0.14083065  0.13911515  0.14316013  0.14743938  0.13870127
  0.1364402   0.1489286   0.13538684  0.11480729  0.14125606  0.07349171
 -0.29006064 -0.7792373  -1.         -0.89582896 -0.7217939  -0.5972689
 -0.46489927 -0.31672773 -0.19285128 -0.08801422  0.01513195  0.10770937
  0.18125322  0.23676498  0.2712345   0.28496888  0.28824934  0.28727266
  0.27866143  0.2616346   0.2409937   0.21861541]",6,[0.8538  0.2217  0.02677 1.     ],2.35861857,20240322_120625_alone_comp_subj_3-4_t5b5_merged.rec,39.0
11,8.4888315,7.8316617,"[ 0.0831288   0.08909154  0.09405652  0.09977233  0.10501836  0.10901335
  0.11559772  0.12090731  0.11902906  0.12247133  0.13279648  0.12687199
  0.12156188  0.14386114  0.13912079  0.10340524  0.14536873  0.15277368
 -0.1852597  -0.7462399  -1.         -0.8243253  -0.58094597 -0.44480187
 -0.31644076 -0.18301503 -0.09842817 -0.03510122  0.03634203  0.10070482
  0.15516578  0.20134206  0.22534728  0.22699487  0.22059579  0.2104162
  0.19553524  0.17944106  0.16321988  0.14598869]",4,[0.82333 0.91253 0.20663 1.     ],1.14287483,20240322_120625_alone_comp_subj_3-4_t5b5_merged.rec,44.0
12,9.707255,2.4870214,"[ 0.04538384  0.04768661  0.05236883  0.06135228  0.06411902  0.06272253
  0.07276853  0.08122248  0.07271428  0.07920724  0.09905452  0.0801269
  0.07376333  0.13550358  0.13302545  0.09906311  0.34493393  0.65048933
  0.29091918 -0.5902103  -1.         -0.7223979  -0.43088412 -0.38599312
 -0.33724007 -0.24003918 -0.18873839 -0.13340434 -0.0427471   0.02760692
  0.0711092   0.1127087   0.14138775  0.15014924  0.15329732  0.1533362
  0.14566639  0.13558319  0.12740499  0.11861192]",3,[0.38127 0.98909 0.42386 1.     ],4.32995019,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,9.0
13,8.883166,8.023312,"[ 0.08960259  0.0947144   0.10028704  0.10634733  0.1110479   0.11479035
  0.11995234  0.12358582  0.12294     0.12517752  0.1304032   0.12717617
  0.12492717  0.13464749  0.12817025  0.11065029  0.12926032  0.07554299
 -0.2613182  -0.76386005 -1.         -0.8326169  -0.5632235  -0.40885144
 -0.304403   -0.19176452 -0.10833953 -0.05213965  0.00790111  0.06722396
  0.11775208  0.16594523  0.20672631  0.2300585   0.23865552  0.23819818
  0.22946215  0.21490195  0.19882524  0.1822333 ]",4,[0.82333 0.91253 0.20663 1.     ],1.96873099,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,13.0
14,-1.4813244,5.76423,"[ 0.01875178  0.01830138  0.01673389  0.01651929  0.01567308  0.0115766
  0.00903734  0.00843261  0.00149098 -0.00506401 -0.00125645 -0.00575789
 -0.02087438 -0.0136708  -0.00287545 -0.0059494   0.06879562  0.16180022
 -0.07597402 -0.6675255  -1.         -0.6798082  -0.10071918  0.24498351
  0.34341076  0.34646067  0.29563907  0.22881277  0.18965472  0.16173491
  0.12852818  0.10422889  0.08778814  0.06803957  0.04986273  0.03762174
  0.02627621  0.015828    0.00984606  0.00638846]",5,[0.99672 0.60977 0.17842 1.     ],24.66983461,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,18.0
15,11.41038,7.1862893,"[ 0.115557    0.12425334  0.13323595  0.14248884  0.15020174  0.15731071
  0.16586128  0.17246525  0.17593044  0.18246365  0.18883145  0.18727854
  0.18991202  0.19932938  0.19175456  0.18405642  0.18936771  0.06481412
 -0.3326997  -0.80824924 -1.         -0.87472945 -0.6930043  -0.5839529
 -0.48822245 -0.38032916 -0.28838158 -0.20573    -0.11607705 -0.02679675
  0.05712932  0.13624492  0.2011123   0.24366526  0.2675567   0.27833405
  0.278337    0.27073246  0.2590173   0.24456006]",6,[0.8538  0.2217  0.02677 1.     ],24.47547747,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,20.0
