,original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event
0,85,35.0,0.791015625,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
1,55,36.0,0.541748046875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
2,17,30.0,0.5185546875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
3,24,3.0,0.001220703125,increases,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
4,68,29.0,0.4697265625,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
5,65,20.0,0.4921875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
6,98,26.0,0.19091796875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
7,94,28.0,0.243896484375,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
8,2,26.0,0.33935546875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
9,33,44.0,0.946044921875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
10,13,18.0,0.057373046875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
11,59,22.5,0.127197265625,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
12,81,22.0,0.10986328125,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
13,19,36.0,0.541748046875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
14,88,12.0,0.130859375,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
15,26,20.5,0.3203125,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
16,5,11.0,0.02685546875,increases,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
17,36,6.0,0.0068359375,increases,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
18,57,13.0,0.9375,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline
19,6,74.0,0.4180412292480469,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
20,60,36.0,0.015972137451171875,increases,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
21,4,64.0,0.3692169189453125,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
22,59,53.0,0.09551239013671875,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
23,39,48.5,0.11870574951171875,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
24,28,71.0,0.550872802734375,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
25,29,74.0,0.4180412292480469,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
26,54,58.0,0.4037628173828125,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
27,52,85.0,0.70855712890625,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
28,48,45.5,0.0897674560546875,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
29,74,60.5,0.30379486083984375,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
30,78,46.0,0.274444580078125,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
31,5,90.0,0.8595733642578125,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
32,53,38.5,0.42626953125,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
33,17,39.0,0.14385986328125,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
34,3,84.0,0.9661178588867188,not significant,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
35,80,25.0,0.02496337890625,increases,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
36,0,,,,20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline
37,139,45.0,0.6697998046875,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
38,7,32.5,0.2412109375,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
39,76,43.5,0.625732421875,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
40,84,49.0,0.855224609375,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
41,159,32.0,0.216552734375,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
42,98,1.0,0.0009765625,increases,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
43,141,44.5,0.6697998046875,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
44,154,35.5,0.85009765625,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
45,50,23.0,0.2333984375,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
46,12,27.0,0.21630859375,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
47,48,28.0,0.423828125,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
48,11,27.0,0.21630859375,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
49,175,22.0,0.0579833984375,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
50,128,19.5,0.080322265625,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
51,90,39.0,0.42626953125,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
52,137,35.5,0.85009765625,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
53,161,19.5,0.0418701171875,increases,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,10s win vs 10s baseline
54,65,6.0,0.4375,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,10s win vs 10s baseline
55,123,6.0,0.4375,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,10s win vs 10s baseline
56,103,3.0,0.15625,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,10s win vs 10s baseline
57,83,0.0,0.03125,decreases,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,10s win vs 10s baseline
58,118,0.0,0.03125,decreases,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,10s win vs 10s baseline
59,93,0.0,0.03125,decreases,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,10s win vs 10s baseline
60,99,5.0,0.3125,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,10s win vs 10s baseline
61,105,5.0,0.625,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,10s win vs 10s baseline
62,87,5.0,0.3125,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,10s win vs 10s baseline
63,19,0.0,0.0625,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,10s win vs 10s baseline
64,9,1.0,0.0625,not significant,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,10s win vs 10s baseline
65,0,,,,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,10s win vs 10s baseline
66,89,15.0,0.03271484375,increases,20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,10s win vs 10s baseline
67,119,17.5,0.10986328125,not significant,20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,10s win vs 10s baseline
68,64,23.5,0.146484375,not significant,20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,10s win vs 10s baseline
69,121,28.5,0.7646484375,not significant,20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,10s win vs 10s baseline
70,98,34.0,0.454833984375,not significant,20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,10s win vs 10s baseline
71,126,0.0,0.0009765625,decreases,20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,10s win vs 10s baseline
72,100,21.0,0.09423828125,not significant,20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,10s win vs 10s baseline
73,2,23.5,0.26611328125,not significant,20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,10s win vs 10s baseline
74,0,,,,20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,10s win vs 10s baseline
75,0,,,,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,10s win vs 10s baseline
76,0,,,,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline
77,21,79.5,0.5677604675292969,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
78,53,88.5,0.5705966949462891,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
79,46,55.5,0.12318801879882812,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
80,45,52.5,0.09551239013671875,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
81,33,42.0,0.017181396484375,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
82,109,62.5,0.21011734008789062,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
83,76,54.5,0.06372261047363281,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
84,39,46.0,0.049365997314453125,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
85,26,87.0,0.76800537109375,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
86,44,68.0,0.17685317993164062,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
87,22,41.0,0.0289306640625,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
88,48,58.0,0.082550048828125,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
89,74,3.0,3.814697265625e-05,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
90,37,37.0,0.009435653686523438,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
91,58,62.5,0.1230926513671875,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
92,1,54.0,0.104156494140625,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
93,23,35.0,0.0072956085205078125,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
94,20,97.5,0.8123550415039062,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
95,29,79.0,0.5412178039550781,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
96,115,79.5,0.83172607421875,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
97,59,58.5,0.668548583984375,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
98,51,37.0,0.009435653686523438,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,10s win vs 10s baseline
