original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event
52,0.0,0.06788915486182899,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
60,0.0,0.06788915486182899,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
77,2.0,0.27332167829229814,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
105,4.0,0.7150006546880893,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
9,3.0,0.4652088184521418,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
0,4.0,0.7150006546880893,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
99,3.0,0.4652088184521418,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
53,1.0,0.28504940740261275,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
85,0.0,0.06788915486182899,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
16,3.0,0.4652088184521418,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
39,3.0,0.4652088184521418,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
17,1.5,0.1974660733580187,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
15,5.0,1.0,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
27,5.0,1.0,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
11,4.5,0.8539232992870668,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
27,22.0,0.017378363446698287,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
53,27.5,0.11637190781649932,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
81,47.5,0.4757700308289149,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
52,58.0,0.6050949464540121,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
0,63.0,0.7959872153886274,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
69,61.0,0.7173808884143212,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
67,66.0,0.9176178742687193,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
74,27.0,0.19523087097038216,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
25,64.5,0.8563589864870352,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
7,31.0,0.055719324352751155,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
13,44.0,0.21460188629190957,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
79,49.5,0.8492919643195107,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
60,30.0,0.049421966979675956,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
68,42.0,0.3066241230648338,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
