original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event
27,22.0,0.017378363446698287,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
60,30.0,0.049421966979675956,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s win vs 10s baseline
33,43.0,0.020633435105949553,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s win vs 10s baseline
22,48.0,0.03334022025101753,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s win vs 10s baseline
74,9.0,0.0003384546789562384,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s win vs 10s baseline
37,38.0,0.01237422010582018,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s win vs 10s baseline
23,34.0,0.00803442885556667,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s win vs 10s baseline
51,37.0,0.011129014082381268,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s win vs 10s baseline
52,18.0,0.009725523541639646,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
60,18.0,0.017058718531494516,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
99,28.0,0.038607051842430073,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
11,5.0,0.0028510905621021063,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
25,5.0,0.0001890120699314349,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
80,46.0,0.027621013367531002,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
73,16.5,0.004501685369001637,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
17,26.0,0.009562906117832044,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
72,4.0,0.0003831008726285678,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
52,0.0,8.857457687863547e-05,decreases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
60,0.0,8.857457687863547e-05,decreases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
77,14.0,0.0011078610833631874,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
9,0.0,8.857457687863547e-05,decreases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
99,11.0,0.000446759756327704,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
53,51.0,0.04332683521527354,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
85,34.5,0.04663565024840324,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
16,0.0,8.857457687863547e-05,decreases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
39,37.0,0.011129014082381268,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
27,33.0,0.02215208309404729,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
