,Recording,Event name,Unit number,Pre-event M,Pre-event SD,Event M,Event Z-Score,sig,putative type
0,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,competitive_lose,5,0.0,0.0,0.2,inf,increase,pyramidal
14,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,competitive_lose,58,0.0,0.0,0.2,inf,increase,pyramidal
74,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,no_comp_win,53,0.0,0.0,0.02,inf,increase,pyramidal
89,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,competitive_lose,52,0.6125,0.6353628077216178,2.3625,2.754331822278708,increase,pyramidal
181,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,no_comp_win,70,0.0,0.0,0.06666666666666667,inf,increase,pyramidal
208,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,no_comp_lose,300,0.0,0.0,0.7,inf,increase,pyramidal
241,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,competitive_lose,107,0.8545454545454545,0.6916693155278797,4.3090909090909095,4.994504421392407,increase,pyramidal
318,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,competitive_lose,6,3.3600000000000003,1.8314629153374662,8.3,2.6972973127821995,increase,pyramidal
364,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,no_comp_lose,154,0.0,0.0,0.3,inf,increase,pyramidal
469,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,no_comp_win,175,0.0,0.0,0.1,inf,increase,pyramidal
487,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,competitive_lose,76,0.0,0.0,0.1,inf,increase,pyramidal
611,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,no_comp_lose,28,0.0,0.0,0.7,inf,increase,pyramidal
813,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,competitive_lose,19,0.36666666666666664,0.49957246678800216,1.8833333333333333,3.0359292545044863,increase,interneuron
824,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,competitive_win,19,0.06666666666666667,0.29429523715086964,1.4999999999999998,4.870392559559293,increase,interneuron
861,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,competitive_lose,187,1.2916666666666667,0.8066232240898012,5.416666666666667,5.113911770460956,increase,pyramidal
866,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,competitive_lose,262,11.666666666666666,1.965514656075569,7.416666666666667,-2.162283545870745,decrease,pyramidal
867,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,competitive_lose,263,5.725,1.467380362484495,11.325,3.8163247533981988,increase,pyramidal
870,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,competitive_lose,272,0.6333333333333333,0.5052431644967157,2.9916666666666663,4.6677194251257665,increase,interneuron
872,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,competitive_lose,275,0.33333333333333337,0.40649989574680734,2.666666666666667,5.740058872700608,increase,pyramidal
