cluster_id	group
0	mua
11	mua
14	good
21	mua
22	mua
28	mua
35	noise
36	noise
41	good
42	good
43	good
45	good
48	good
50	good
53	good
58	good
63	noise
64	noise
65	noise
68	mua
107	noise
119	noise
123	noise
124	good
128	mua
129	mua
139	good
143	mua
144	good
153	good
154	mua
155	noise
162	good
168	good
171	mua
172	good
174	noise
180	mua
181	good
193	mua
194	mua
203	good
204	mua
206	mua
207	good
220	good
221	good
226	good
227	good
229	mua
241	good
244	good
245	good
250	mua
251	good
252	mua
254	good
258	good
259	good
