cluster_id	group
0	mua
2	mua
4	good
6	mua
7	good
8	mua
9	noise
11	mua
12	good
13	mua
14	good
15	good
16	good
17	good
18	mua
19	mua
20	mua
22	mua
23	noise
24	good
25	good
26	mua
27	good
28	mua
29	mua
30	good
31	mua
33	mua
34	good
35	good
36	good
37	mua
38	good
39	good
40	mua
41	noise
42	mua
43	mua
44	good
45	good
46	good
47	mua
48	noise
49	good
50	good
51	mua
52	mua
53	good
54	good
56	mua
58	mua
59	noise
60	good
61	noise
62	noise
63	noise
64	mua
65	good
79	good
80	good
81	good
82	mua
85	good
86	mua
87	good
88	mua
89	good
90	mua
93	good
94	good
95	mua
96	mua
