cluster_id	group
0	mua
1	good
2	mua
5	mua
6	good
8	noise
9	unsorted
10	mua
12	noise
14	noise
15	good
16	noise
17	mua
18	mua
19	mua
20	good
21	good
22	good
23	good
24	mua
25	mua
26	good
27	good
28	good
29	good
30	mua
31	unsorted
33	good
34	mua
35	noise
36	noise
37	good
38	noise
39	good
42	noise
43	noise
44	good
45	good
46	good
47	mua
48	good
49	unsorted
50	noise
51	good
52	unsorted
53	good
54	mua
55	good
56	mua
58	good
59	good
60	mua
61	noise
62	noise
63	noise
74	good
75	mua
76	good
78	good
100	mua
102	good
109	good
110	mua
115	good
116	noise
