cluster_id	group
8	noise
11	noise
16	good
17	good
19	mua
20	good
21	mua
22	mua
23	mua
24	mua
25	good
26	good
27	mua
30	mua
31	mua
33	mua
34	good
35	good
39	good
40	good
42	good
43	good
44	good
45	mua
46	good
47	good
48	good
49	good
52	good
54	mua
55	mua
57	good
61	mua
62	mua
63	mua
66	mua
67	mua
68	mua
70	good
72	good
73	good
74	mua
75	mua
77	mua
85	mua
86	good
87	mua
88	mua
89	mua
90	good
91	noise
93	mua
94	mua
95	good
96	mua
100	good
102	mua
105	good
106	noise
107	mua
110	good
111	mua
114	good
115	good
