cluster_id	group
0	mua
3	noise
17	mua
18	mua
26	mua
28	mua
30	noise
53	mua
54	mua
55	mua
56	noise
75	mua
76	mua
83	mua
95	mua
96	mua
99	mua
102	mua
103	mua
104	mua
106	mua
113	mua
114	mua
115	good
116	mua
117	mua
118	mua
125	good
129	mua
130	good
133	mua
134	mua
148	noise
149	good
153	good
154	mua
160	mua
168	mua
180	mua
181	good
182	mua
187	noise
189	noise
192	good
193	mua
198	mua
201	mua
210	good
211	mua
212	mua
213	mua
244	mua
245	mua
251	mua
252	good
267	mua
270	mua
271	mua
275	mua
279	good
280	mua
281	mua
282	good
283	mua
285	good
287	good
288	mua
