cluster_id	group
3	mua
4	mua
6	mua
7	mua
8	good
9	good
10	mua
11	mua
13	good
14	mua
15	noise
19	good
26	mua
28	mua
31	good
32	good
33	good
35	mua
36	mua
42	good
53	mua
54	noise
55	noise
56	noise
57	mua
59	good
62	mua
63	good
65	noise
66	good
75	good
77	mua
78	mua
80	mua
81	mua
82	good
83	mua
84	mua
85	mua
93	good
94	good
95	good
96	mua
98	good
102	mua
105	mua
109	noise
110	good
111	good
116	good
117	mua
119	mua
120	good
122	mua
124	good
126	mua
131	mua
134	mua
140	noise
149	mua
150	good
151	mua
152	mua
