cluster_id	group
0	mua
3	mua
6	mua
7	mua
9	mua
11	mua
15	mua
16	mua
24	good
32	mua
35	mua
38	mua
41	noise
42	noise
43	noise
44	noise
48	good
50	good
52	mua
54	mua
55	mua
57	good
58	noise
63	good
64	good
67	mua
68	mua
71	good
74	mua
76	mua
79	good
80	good
83	good
84	noise
87	good
89	mua
90	mua
95	good
96	good
99	mua
100	mua
101	good
102	mua
105	mua
106	mua
107	mua
111	mua
112	mua
114	noise
117	mua
118	mua
120	mua
123	good
124	mua
126	good
128	mua
131	good
132	mua
133	good
136	mua
137	mua
138	mua
139	mua
141	good
143	good
145	mua
148	mua
149	mua
150	good
151	good
152	mua
153	mua
154	mua
