cluster_id	group
0	noise
3	mua
5	good
9	noise
10	good
11	mua
15	mua
17	mua
19	mua
20	good
26	good
31	mua
34	good
35	mua
37	noise
38	mua
39	noise
40	noise
41	noise
70	noise
73	mua
79	good
81	noise
86	noise
87	mua
88	noise
89	good
98	good
99	mua
102	noise
103	good
104	mua
105	noise
110	mua
111	noise
120	good
121	noise
127	noise
133	good
135	mua
137	mua
140	good
141	good
143	mua
175	noise
177	good
178	mua
179	mua
182	good
184	good
185	mua
190	good
191	mua
194	mua
195	noise
207	mua
218	noise
220	good
221	mua
228	good
231	mua
233	mua
