cluster_id	group
0	good
1	mua
2	noise
4	mua
5	mua
7	mua
11	good
17	mua
18	mua
19	mua
20	good
21	mua
22	mua
23	good
25	mua
26	mua
27	good
29	good
30	mua
31	mua
32	mua
33	good
34	mua
40	noise
42	good
45	mua
46	good
47	mua
48	noise
50	noise
51	noise
62	good
63	noise
64	good
65	mua
73	mua
74	noise
75	good
76	noise
77	good
78	mua
79	good
96	good
97	mua
100	good
101	good
110	good
113	mua
116	good
118	mua
119	mua
121	mua
124	mua
125	good
130	mua
138	noise
139	mua
143	mua
144	mua
145	good
147	good
162	mua
163	mua
