cluster_id	group
2	mua
10	mua
12	noise
13	good
18	mua
20	mua
23	good
24	good
25	good
27	good
28	good
36	good
41	noise
42	noise
46	mua
52	good
53	good
54	noise
57	mua
58	good
59	good
60	noise
62	good
67	mua
68	mua
73	good
74	mua
76	noise
77	good
83	good
94	mua
98	noise
101	good
107	mua
108	good
133	noise
140	mua
141	mua
153	noise
154	mua
158	good
160	mua
161	noise
164	mua
169	good
177	good
182	mua
183	good
194	good
195	mua
197	mua
200	mua
201	mua
202	mua
205	mua
206	mua
208	mua
210	good
212	mua
215	mua
216	good
