cluster_id	group
10	mua
12	good
13	good
14	good
15	mua
18	good
21	good
22	good
23	good
25	mua
26	mua
32	mua
34	good
36	mua
40	noise
43	mua
45	mua
46	mua
47	noise
88	good
89	noise
110	noise
112	noise
116	noise
118	good
119	good
126	good
137	mua
148	mua
149	noise
164	noise
169	noise
174	good
175	good
232	noise
250	noise
251	good
276	mua
279	noise
280	noise
284	noise
285	good
298	good
299	noise
309	mua
312	mua
319	mua
320	mua
321	mua
326	good
327	noise
331	good
341	mua
342	noise
359	mua
367	noise
368	mua
369	good
371	mua
372	mua
373	good
375	mua
376	good
377	mua
378	mua
380	mua
382	good
383	good
390	good
391	good
