cluster_id	group
3	mua
5	mua
6	good
7	good
8	mua
12	mua
13	good
14	noise
15	good
16	good
17	good
18	mua
19	mua
22	good
24	good
26	good
27	mua
33	mua
35	mua
36	good
37	good
38	mua
39	mua
40	mua
41	mua
42	mua
43	mua
46	good
47	good
48	mua
49	noise
50	mua
53	mua
54	mua
55	noise
56	mua
57	mua
65	noise
67	noise
69	noise
70	mua
72	mua
73	noise
74	good
75	noise
76	good
77	mua
78	mua
79	noise
80	mua
81	mua
82	good
83	mua
84	good
85	mua
86	good
87	good
88	mua
89	good
90	noise
91	mua
93	mua
94	noise
95	mua
96	noise
