cluster_id	group
0	good
1	mua
2	noise
3	mua
4	mua
5	good
7	good
8	good
10	good
11	mua
12	good
13	good
14	good
15	mua
16	good
17	mua
18	good
20	good
21	noise
22	mua
23	good
24	good
25	good
26	good
27	mua
29	mua
30	good
31	mua
33	mua
35	noise
37	good
38	noise
39	mua
40	good
41	mua
47	good
48	noise
49	mua
60	good
64	good
65	mua
67	mua
68	good
69	good
70	noise
72	good
73	mua
74	good
77	good
78	mua
81	mua
82	good
83	mua
84	mua
87	mua
88	mua
89	good
90	mua
91	mua
92	good
93	mua
95	good
96	mua
97	noise
98	good
