cluster_id	group
0	good
1	mua
3	good
4	mua
5	mua
6	good
7	good
12	unsorted
13	good
15	good
16	mua
17	good
20	mua
21	mua
22	mua
24	mua
25	good
26	mua
28	mua
29	good
31	good
33	mua
34	good
35	mua
36	good
37	mua
38	mua
40	good
41	mua
42	mua
43	mua
44	mua
45	mua
46	mua
48	mua
49	mua
51	mua
52	noise
53	noise
54	noise
64	mua
84	noise
85	good
86	good
89	good
90	noise
93	good
94	noise
97	mua
99	noise
101	good
119	noise
120	good
121	good
122	noise
128	good
129	mua
130	good
131	noise
135	good
136	mua
149	noise
151	noise
152	good
158	good
159	noise
175	noise
176	mua
