original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event,Source
9,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s win vs 10s baseline,win
24,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s win vs 10s baseline,win
76,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s win vs 10s baseline,win
10,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s win vs 10s baseline,win
94,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s win vs 10s baseline,win
87,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s win vs 10s baseline,win
1,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s win vs 10s baseline,win
15,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s win vs 10s baseline,win
97,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s win vs 10s baseline,win
39,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s win vs 10s baseline,win
2,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s win vs 10s baseline,win
11,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s win vs 10s baseline,win
77,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1.1,10s win vs 10s baseline,win
21,86.0,0.47812547119613813,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s win vs 10s baseline,win
28,52.5,0.2549080416924536,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s win vs 10s baseline,win
53,87.5,0.5131816724903671,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s win vs 10s baseline,win
46,64.0,0.12585852473931722,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s win vs 10s baseline,win
45,62.0,0.10842674449200547,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s win vs 10s baseline,win
33,43.0,0.020633435105949553,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s win vs 10s baseline,win
109,62.0,0.18418074965866182,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s win vs 10s baseline,win
76,55.0,0.06195278853716299,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s win vs 10s baseline,win
