Recording,Subject,original unit id,sig_increase_events,sig_decrease_events,insig_events,sig_events
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,6,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,60,win,,"rewarded, lose, both_rewarded, tie",win
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,4,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,59,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,79,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,39,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,28,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,29,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,54,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,52,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,48,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,74,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,78,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,5,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,53,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,17,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,3,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,1-1,80,win,,"rewarded, lose, both_rewarded, tie",win
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,17,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,43,lose,,"rewarded, win, both_rewarded, tie",lose
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,25,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,35,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,16,lose,,"rewarded, win, both_rewarded, tie",lose
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,34,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,47,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,20,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,95,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,73,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,57,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,90,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,46,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,105,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,39,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,86,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,115,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,72,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,114,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,100,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,49,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,42,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,48,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,44,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,110,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,52,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,70,,,"rewarded, win, tie, lose, both_rewarded",
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,40,lose,,"rewarded, win, both_rewarded, tie",lose
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,1-2,26,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,139,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,7,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,76,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,84,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,170,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,159,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,98,"rewarded, win",,"lose, both_rewarded, tie","rewarded, win"
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,141,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,154,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,50,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,12,,lose,"rewarded, win, both_rewarded, tie",lose
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,48,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,11,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,175,,lose,"rewarded, win, both_rewarded, tie",lose
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,128,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,51,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,90,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,137,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,161,win,,"rewarded, lose, both_rewarded, tie",win
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,64,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,1-1,61,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,65,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,123,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,103,"rewarded, lose",,"win, both_rewarded, tie","lose, rewarded"
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,83,rewarded,win,"lose, both_rewarded, tie","rewarded, win"
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,118,,win,"rewarded, lose, both_rewarded, tie",win
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,106,,,"rewarded, win, tie, lose, both_rewarded",
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,93,,win,"rewarded, lose, both_rewarded, tie",win
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,99,"rewarded, lose",,"win, both_rewarded, tie","lose, rewarded"
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,105,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,87,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,19,"rewarded, win, lose",,"both_rewarded, tie","lose, rewarded, win"
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,1-4,9,win,,"rewarded, lose, both_rewarded, tie",win
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,252,,,"rewarded, win, tie, lose, both_rewarded",
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,44,lose,,"rewarded, win, both_rewarded, tie",lose
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,263,lose,,"rewarded, win, both_rewarded, tie",lose
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,262,,,"rewarded, win, tie, lose, both_rewarded",
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,282,,,"rewarded, win, tie, lose, both_rewarded",
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,134,,,"rewarded, win, tie, lose, both_rewarded",
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,274,lose,,"rewarded, win, both_rewarded, tie",lose
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,186,lose,,"rewarded, win, both_rewarded, tie",lose
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,227,,,"rewarded, win, tie, lose, both_rewarded",
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,250,,,"rewarded, win, tie, lose, both_rewarded",
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,11,,,"rewarded, win, tie, lose, both_rewarded",
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,132,,,"rewarded, win, tie, lose, both_rewarded",
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,268,lose,,"rewarded, win, both_rewarded, tie",lose
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,275,lose,,"rewarded, win, both_rewarded, tie",lose
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,187,lose,,"rewarded, win, both_rewarded, tie",lose
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,271,,,"rewarded, win, tie, lose, both_rewarded",
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,255,,,"rewarded, win, tie, lose, both_rewarded",
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,1-4,272,,lose,"rewarded, win, both_rewarded, tie",lose
20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,89,win,,"rewarded, lose, both_rewarded, tie",win
20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,119,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,64,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,121,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,98,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,122,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,22,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,126,,win,"rewarded, lose, both_rewarded, tie",win
20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,100,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1-1,2,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,42,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,207,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,262,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,144,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,41,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,162,lose,,"rewarded, win, both_rewarded, tie",lose
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,48,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,45,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,68,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,259,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,153,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,269,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,53,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,168,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,58,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,258,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,14,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,241,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,245,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,28,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,43,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,124,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,221,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,172,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,244,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,227,lose,,"rewarded, win, both_rewarded, tie",lose
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,226,,,"rewarded, win, tie, lose, both_rewarded",
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1-2,266,,,"rewarded, win, tie, lose, both_rewarded",
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,36,,rewarded,"win, both_rewarded, lose, tie",rewarded
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,17,"rewarded, lose",,"win, both_rewarded, tie","lose, rewarded"
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,7,,rewarded,"win, both_rewarded, lose, tie",rewarded
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,6,"rewarded, lose",,"win, both_rewarded, tie","lose, rewarded"
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,37,,,"rewarded, win, tie, lose, both_rewarded",
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,84,"rewarded, lose",,"win, both_rewarded, tie","lose, rewarded"
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,76,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,24,lose,,"rewarded, win, both_rewarded, tie",lose
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,16,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,13,,,"rewarded, win, tie, lose, both_rewarded",
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,47,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,82,lose,,"rewarded, win, both_rewarded, tie",lose
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,46,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,26,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,86,,rewarded,"win, both_rewarded, lose, tie",rewarded
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,89,"rewarded, lose",,"win, both_rewarded, tie","lose, rewarded"
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,15,,,"rewarded, win, tie, lose, both_rewarded",
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,74,rewarded,,"win, both_rewarded, lose, tie",rewarded
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,22,lose,,"rewarded, win, both_rewarded, tie",lose
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,1-4,87,lose,rewarded,"win, both_rewarded, tie","lose, rewarded"
