,Recording,Unit number,sig events,not sig events,putative type
0,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,5,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
11,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,53,['no_comp_win'],"['competitive_lose', 'competitive_win', 'no_comp_lose']",pyramidal
14,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,58,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
26,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,52,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
34,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,70,['no_comp_win'],"['competitive_lose', 'competitive_win', 'no_comp_lose']",pyramidal
53,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,300,['no_comp_lose'],"['competitive_win', 'no_comp_win']",pyramidal
78,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,107,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal
91,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,6,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
97,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,154,['no_comp_lose'],"['competitive_lose', 'competitive_win', 'no_comp_win']",pyramidal
119,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,175,['no_comp_win'],"['competitive_lose', 'competitive_win', 'no_comp_lose']",pyramidal
137,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,76,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
158,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,28,['no_comp_lose'],"['competitive_lose', 'competitive_win', 'no_comp_win']",pyramidal
214,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,19,"['competitive_lose', 'competitive_win']","['no_comp_lose', 'no_comp_win']",interneuron
229,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,187,"['competitive_lose', 'no_comp_lose', 'no_comp_win']",[],pyramidal
234,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,262,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal
235,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,263,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal
238,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,272,"['competitive_lose', 'no_comp_lose', 'no_comp_win']",[],interneuron
239,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,274,['no_comp_win'],"['competitive_lose', 'no_comp_lose']",pyramidal
240,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,275,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal
286,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,36,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",interneuron
290,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,74,['no_comp_win'],"['competitive_lose', 'no_comp_lose']",pyramidal
292,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,82,"['competitive_lose', 'no_comp_win']",['no_comp_lose'],pyramidal
293,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,84,"['competitive_lose', 'no_comp_win']",['no_comp_lose'],pyramidal
294,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,86,['no_comp_win'],"['competitive_lose', 'no_comp_lose']",pyramidal
295,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,87,"['competitive_lose', 'no_comp_win']",['no_comp_lose'],pyramidal
380,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,32,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",interneuron
411,20240320_171038_alone_comp_subj_4-3_t5b5_merged.rec,13,['no_comp_win'],"['competitive_win', 'tie']",interneuron
435,20240322_120625_alone_comp_subj_3-3_t6b6_merged.rec,47,['competitive_win'],"['competitive_lose', 'no_comp_lose']",pyramidal
459,20240322_160946_alone_comp_subj_4-3_t6b6_merged.rec,83,['competitive_lose'],"['competitive_win', 'no_comp_win']",pyramidal
482,20240323_144517_alone_comp_subj_3-1_t5b5_merged.rec,80,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win', 'tie']",pyramidal
494,20240323_165815_alone_comp_subj_4-2_t5b5_merged.rec,24,"['no_comp_win', 'tie']","['competitive_lose', 'competitive_win', 'no_comp_lose']",interneuron
500,20240323_165815_alone_comp_subj_4-2_t5b5_merged.rec,75,"['competitive_lose', 'tie']","['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal
