,Recording,Unit number,sig events,not sig events,putative type,categories
0,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,5,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal,2
5,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,24,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal,2
11,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,53,['no_comp_win'],"['competitive_lose', 'competitive_win', 'no_comp_lose']",pyramidal,4
12,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,54,['competitive_win'],"['competitive_lose', 'no_comp_lose', 'no_comp_win']",pyramidal,1
14,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,58,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal,2
26,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,52,"['competitive_lose', 'competitive_win', 'no_comp_win']",['no_comp_lose'],pyramidal,7
28,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,61,['no_comp_win'],"['competitive_lose', 'competitive_win', 'no_comp_lose']",pyramidal,4
31,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,14,['no_comp_win'],"['competitive_lose', 'competitive_win', 'no_comp_lose']",pyramidal,4
34,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,70,['no_comp_win'],"['competitive_lose', 'competitive_win', 'no_comp_lose']",pyramidal,4
53,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,300,['no_comp_lose'],"['competitive_win', 'no_comp_win']",pyramidal,8
54,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,479,['no_comp_win'],"['competitive_win', 'no_comp_lose']",pyramidal,4
57,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,4,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal,2
63,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,20,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal,2
78,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,107,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal,2
91,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,6,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal,2
97,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,154,['no_comp_lose'],"['competitive_lose', 'competitive_win', 'no_comp_win']",pyramidal,8
113,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,21,['no_comp_lose'],"['competitive_lose', 'competitive_win', 'no_comp_win']",pyramidal,8
119,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,175,['no_comp_win'],"['competitive_lose', 'competitive_win', 'no_comp_lose']",pyramidal,4
137,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,76,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal,2
146,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,180,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal,2
152,20230616_111904_standard_comp_to_training_D4_subj_1-4_t4b3L_box1_merged.rec,64,"['competitive_win', 'no_comp_win']","['competitive_lose', 'no_comp_lose']",pyramidal,5
155,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,5,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal,2
158,20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,28,['no_comp_lose'],"['competitive_lose', 'competitive_win', 'no_comp_win']",pyramidal,8
201,20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,76,"['competitive_lose', 'no_comp_win']","['competitive_win', 'no_comp_lose']",pyramidal,6
214,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,19,"['competitive_lose', 'competitive_win']","['no_comp_lose', 'no_comp_win']",interneuron,3
217,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,87,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal,2
220,20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,103,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal,2
229,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,187,"['competitive_lose', 'no_comp_lose', 'no_comp_win']",[],pyramidal,14
234,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,262,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal,2
235,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,263,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal,2
238,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,272,"['competitive_lose', 'no_comp_lose', 'no_comp_win']",[],interneuron,14
239,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,274,"['competitive_lose', 'no_comp_win']",['no_comp_lose'],pyramidal,6
240,20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,275,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal,2
248,20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,121,['competitive_lose'],"['competitive_win', 'no_comp_win']",pyramidal,2
274,20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,262,['no_comp_lose'],"['competitive_lose', 'competitive_win']",pyramidal,8
278,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,7,['no_comp_win'],"['competitive_lose', 'no_comp_lose']",interneuron,4
282,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,17,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",pyramidal,2
286,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,36,['competitive_lose'],"['no_comp_lose', 'no_comp_win']",interneuron,2
290,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,74,['no_comp_win'],"['competitive_lose', 'no_comp_lose']",pyramidal,4
292,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,82,"['competitive_lose', 'no_comp_win']",['no_comp_lose'],pyramidal,6
293,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,84,"['competitive_lose', 'no_comp_win']",['no_comp_lose'],pyramidal,6
294,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,86,['no_comp_win'],"['competitive_lose', 'no_comp_lose']",pyramidal,4
295,20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,87,"['competitive_lose', 'no_comp_win']",['no_comp_lose'],pyramidal,6
351,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,119,['no_comp_lose'],['competitive_lose'],pyramidal,8
361,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,0,['no_comp_lose'],"['competitive_lose', 'competitive_win', 'no_comp_win']",pyramidal,8
377,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,164,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal,2
380,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,32,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win']",interneuron,2
407,20240320_171038_alone_comp_subj_4-2_t6b6_merged.rec,33,['tie'],"['competitive_lose', 'no_comp_lose']",pyramidal,0
411,20240320_171038_alone_comp_subj_4-3_t5b5_merged.rec,13,['no_comp_win'],"['competitive_win', 'tie']",interneuron,4
413,20240320_171038_alone_comp_subj_4-3_t5b5_merged.rec,31,['tie'],"['competitive_win', 'no_comp_win']",pyramidal,0
425,20240320_171038_alone_comp_subj_4-3_t5b5_merged.rec,98,['competitive_win'],"['no_comp_win', 'tie']",pyramidal,1
435,20240322_120625_alone_comp_subj_3-3_t6b6_merged.rec,47,['competitive_win'],"['competitive_lose', 'no_comp_lose']",pyramidal,1
440,20240322_120625_alone_comp_subj_3-3_t6b6_merged.rec,101,['competitive_win'],"['competitive_lose', 'no_comp_lose']",pyramidal,1
442,20240322_120625_alone_comp_subj_3-4_t5b5_merged.rec,8,['competitive_win'],"['competitive_lose', 'no_comp_win']",pyramidal,1
459,20240322_160946_alone_comp_subj_4-3_t6b6_merged.rec,83,['competitive_lose'],"['competitive_win', 'no_comp_win']",pyramidal,2
460,20240322_160946_alone_comp_subj_4-3_t6b6_merged.rec,101,['competitive_win'],"['competitive_lose', 'no_comp_win']",pyramidal,1
472,20240323_122227_alone_comp_subj_5-2_t6b6_merged.rec,72,['tie'],"['competitive_lose', 'no_comp_lose']",pyramidal,0
473,20240323_144517_alone_comp_subj_3-1_t5b5_merged.rec,4,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win', 'tie']",interneuron,2
482,20240323_144517_alone_comp_subj_3-1_t5b5_merged.rec,80,['competitive_lose'],"['competitive_win', 'no_comp_lose', 'no_comp_win', 'tie']",pyramidal,2
486,20240323_144517_alone_comp_subj_3-4_t6b6_merged.rec,3,['no_comp_lose'],"['competitive_lose', 'competitive_win', 'no_comp_win', 'tie']",pyramidal,8
487,20240323_144517_alone_comp_subj_3-4_t6b6_merged.rec,4,"['competitive_win', 'no_comp_lose']","['competitive_lose', 'no_comp_win', 'tie']",pyramidal,9
488,20240323_144517_alone_comp_subj_3-4_t6b6_merged.rec,7,['no_comp_lose'],"['competitive_lose', 'competitive_win', 'no_comp_win', 'tie']",pyramidal,8
491,20240323_165815_alone_comp_subj_4-2_t5b5_merged.rec,0,['tie'],"['competitive_lose', 'competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal,0
494,20240323_165815_alone_comp_subj_4-2_t5b5_merged.rec,24,"['no_comp_win', 'tie']","['competitive_lose', 'competitive_win', 'no_comp_lose']",interneuron,4
500,20240323_165815_alone_comp_subj_4-2_t5b5_merged.rec,75,"['competitive_lose', 'tie']","['competitive_win', 'no_comp_lose', 'no_comp_win']",pyramidal,2
