,original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event,putative
0,65,37.0,0.587890625,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
1,17,30.0,0.5185546875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
2,75,37.0,0.587890625,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
3,24,3.0,0.001220703125,increases,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
4,58,28.0,0.423828125,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
5,10,20.0,0.4921875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
6,54,1.0,0.00048828125,increases,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
7,51,36.0,0.541748046875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
8,43,27.0,0.21630859375,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
9,50,11.0,0.10546875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
10,33,44.0,0.946044921875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
11,69,35.0,0.497314453125,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
12,13,18.0,0.057373046875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,interneuron
13,66,18.0,0.057373046875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
14,60,22.0,0.10986328125,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
15,19,36.0,0.541748046875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
16,67,23.0,0.4130859375,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
17,5,11.0,0.02685546875,increases,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
18,55,24.0,0.146484375,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
19,36,6.0,0.0068359375,increases,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
20,53,13.0,0.9375,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,1-3,10s win vs 10s baseline,pyramidal
21,51,10.5,0.6875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,1-4,10s win vs 10s baseline,pyramidal
22,15,1.0,0.03125,increases,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,1-4,10s win vs 10s baseline,pyramidal
23,58,9.0,0.46875,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,1-4,10s win vs 10s baseline,pyramidal
24,12,0.0,0.015625,decreases,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,1-4,10s win vs 10s baseline,pyramidal
25,52,0.0,0.015625,decreases,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,1-4,10s win vs 10s baseline,pyramidal
26,61,0.0,0.03125,decreases,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,1-4,10s win vs 10s baseline,pyramidal
27,50,4.5,1.0,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,1-4,10s win vs 10s baseline,pyramidal
28,46,0.0,0.125,not significant,20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,1-4,10s win vs 10s baseline,pyramidal
29,2,36.0,0.541748046875,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
30,210,23.5,0.46484375,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
31,1,11.0,0.02685546875,increases,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
32,334,19.5,0.2783203125,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
33,126,42.0,0.83935546875,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,interneuron
34,273,40.5,0.786865234375,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
35,162,38.5,1.0,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
36,74,20.0,0.1513671875,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
37,283,26.0,0.19091796875,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
38,23,33.0,0.414306640625,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
39,14,24.0,0.146484375,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
40,351,19.5,0.080322265625,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
41,240,44.0,0.946044921875,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
42,400,32.0,0.6220703125,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
43,337,30.0,0.8310546875,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
44,36,37.0,0.587890625,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
45,403,9.0,0.25,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
46,70,15.0,0.232421875,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
47,176,39.0,0.684814453125,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
48,211,8.0,0.375,not significant,20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,1-2,10s win vs 10s baseline,pyramidal
49,54,71.0,0.3524589538574219,not significant,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline,interneuron
50,60,71.5,0.37359619140625,not significant,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline,interneuron
51,481,6.0,5.340576171875e-05,increases,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
52,223,34.0,0.02367401123046875,increases,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
53,489,94.0,0.9843215942382812,not significant,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
54,479,32.0,0.0347900390625,increases,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
55,300,73.0,0.6094589233398438,not significant,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
56,21,64.5,0.24125289916992188,not significant,20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
57,0,,,,20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,1-4,10s win vs 10s baseline,n/a
58,5,52.0,1.0,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,interneuron
59,290,22.5,0.067626953125,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
60,192,38.0,0.635498046875,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
61,172,40.0,0.463134765625,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
62,248,36.5,0.3575439453125,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
63,12,37.0,0.90966796875,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
64,295,46.0,0.71484375,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,interneuron
65,44,28.0,0.13525390625,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
66,76,29.5,0.172607421875,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
67,86,30.5,0.5693359375,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
68,176,37.0,0.90966796875,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
69,229,47.5,0.8077392578125,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
70,75,17.0,0.0478515625,increases,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
71,0,16.0,0.020263671875,increases,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
72,245,9.5,0.0052490234375,increases,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
73,289,39.0,0.684814453125,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
74,175,30.5,0.1937255859375,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
75,154,40.0,0.463134765625,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
76,220,33.0,0.2412109375,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
77,6,37.0,0.3575439453125,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,1-1,10s win vs 10s baseline,pyramidal
78,14,1.0,0.125,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
79,126,5.0,0.625,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
80,369,3.0,0.3125,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
81,18,8.0,0.6875,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
82,13,9.5,1.0,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
83,391,10.0,1.0,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
84,331,9.0,0.84375,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
85,119,0.0,0.03125,decreases,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
86,12,8.0,0.6875,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
87,373,3.0,0.15625,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
88,376,3.0,0.15625,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
89,34,0.0,0.03125,decreases,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
90,88,9.0,0.84375,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
91,21,3.0,0.3125,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
92,22,10.0,1.0,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
93,298,6.0,0.4375,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,interneuron
94,251,5.0,0.3125,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
95,285,0.0,0.125,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
96,383,5.0,0.625,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
97,175,10.0,1.0,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
98,390,3.5,0.875,not significant,20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
99,106,23.0,0.127197265625,not significant,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
100,133,29.5,0.305419921875,not significant,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
101,120,42.0,0.83935546875,not significant,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
102,122,31.0,0.339599609375,not significant,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
103,186,33.0,0.67724609375,not significant,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
104,128,22.5,0.127197265625,not significant,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
105,9,36.5,0.587890625,not significant,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
106,18,22.0,0.10986328125,not significant,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
107,180,32.0,0.375732421875,not significant,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
108,43,27.0,0.21630859375,not significant,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
109,193,32.0,0.9658203125,not significant,20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,1-2,10s win vs 10s baseline,pyramidal
